name,description,latitude,longitude
Palais des Beaux-Arts de Lille,Un des plus grands musées de France avec une collection exceptionnelle de peintures européennes.,50.630458149999995,3.0628110944444478
La Vieille Bourse,"Un bâtiment historique de style flamand datant du XVIIe siècle, au cœur de Lille.",50.6370472,3.064016968207108
Cathédrale Notre-Dame-de-la-Treille,"Cathédrale moderne et néo-gothique, située dans le Vieux-Lille.",50.6401791,3.062811785213672
Zoo de Lille,Un zoo gratuit dans le quartier du Vieux-Lille avec une grande variété d'animaux.,50.6382274,3.047748
Parc de la Citadelle,"Un parc urbain avec des sentiers et des espaces verts, entourant la Citadelle de Lille.",50.6420898,3.0482218317792293
Place Charles de Gaulle,"La place principale de Lille, entourée de bâtiments historiques et de cafés.",50.47706565,3.0555194925119555
Musée d'Histoire Naturelle,"Un musée présentant des expositions sur l'histoire naturelle, incluant des fossiles et des animaux naturalisés.",50.6266587,3.06701952992126
Église Saint-Maurice,"Une église gothique dans le centre de Lille, datant du XIVe siècle.",50.635879,3.0675010887495997
Musée de l'Hospice Comtesse,"Un musée installé dans un ancien hôpital du XIIIe siècle, avec des collections d'art et d'objets historiques.",50.6411688,3.0632054
La Citadelle de Lille,"Une forteresse militaire construite par Vauban au XVIIe siècle, un exemple classique de fortification.",50.701934,3.1322799944444437
Maison natale de Charles de Gaulle,"Le lieu de naissance du Général de Gaulle, transformé en musée.",50.645844749999995,3.0586700703815612
Opéra de Lille,Un magnifique opéra néo-classique situé près de la Grand Place de Lille.,50.63771955,3.065317447354925
Quartier du Vieux-Lille,"Le quartier historique de Lille, célèbre pour ses rues pavées et ses boutiques.",50.644779299999996,3.052581029565949
Maison Coilliot,"Un édifice art nouveau conçu par Hector Guimard, emblématique de l'architecture de l'époque.",50.6269801,3.0601164
Théâtre Sébastopol,"Un théâtre datant de 1903, accueillant des spectacles et des concerts dans un cadre élégant.",50.6291036,3.0583894
Parc Jean-Baptiste Lebas,"Un espace vert central avec des sculptures et un grand terrain de jeux, idéal pour les familles.",50.6266584,3.069021998028962
Porte de Paris,Un arc de triomphe du XVIIe siècle célébrant la victoire de Louis XIV à Lille.,50.6296582,3.0688015
Beffroi de l'Hôtel de Ville,"Un beffroi classé au patrimoine mondial de l'UNESCO, offrant une vue panoramique sur la ville.",50.63073,3.06979
